# Original content of sectordata.csv
# (Assuming the original content is 10 lines long)
Sector,Description
1,Description of sector 1
2,Description of sector 2
3,Description of sector 3
4,Description of sector 4

# End of file
orgid,name,Summary Sector,Detailed Sector Description,Notes
1,?,,,Insufficient data
2,Robert Half,Recruitment,"Staffing and consulting for finance, tech, legal, admin, HR",
3,Robert Walters,Recruitment,"Global specialist recruitment across finance, legal, tech, HR, supply chain",
4,Formula Recruitment,Recruitment,"Tech-focused recruitment for engineering, product, UX, DevOps, and data",
5,Gerrard White,Recruitment,"Legal, insurance, and tech recruitment across UK, EU, US",
6,Mondrian Alpha,Executive Search,"Buy-side investment recruitment: investment, ops, IR, compliance, asset raising",
7,Radlett James,Recruitment,"Global recruitment for fintech, data science, quant, dev, crypto",
8,AXA,Insurance & Asset Mgmt,"Global insurance, reinsurance, health, and investment management services",
9,Accenture,Consulting & Tech,"Global consulting in strategy, digital, tech, operations, AI",
10,Acertitude,Executive Search,"Leadership search and consulting for private equity, tech, healthcare",
11,Acrisure,Insurance & Tech,"Insurance brokerage, cybersecurity, payroll, and business solutions",
12,Adalent,Executive Search,"Search and talent strategy for tech, data, digital, cyber leaders",
13,Alix Partners,Consulting,"Global management consulting for turnaround, transformation, and performance improvement",
14,AlphaSights,Information Services,Expert network connecting clients with industry specialists for primary research,
15,Amazon,Technology & Retail,"E-commerce, cloud computing (AWS), digital media, logistics, and consumer electronics",
16,Anaplan,SaaS & Analytics,"AI-powered cloud platform for enterprise planning, forecasting, and scenario modeling",
17,Anson Mccabe,Recruitment,"Specialist recruitment in tech, cyber, quant, trading, and transformation consulting",
18,Argenta Group,Insurance & Investment,"Lloyd’s market underwriting, syndicate management, and insurance investment advisory",
19,Argon International,Consulting & Talent,"Business transformation consulting and executive placement for finance, HR, IT, supply chain",
20,BCG,Consulting,"Strategy consulting across industries including healthcare, finance, tech, and public sector",
21,BUPA,Healthcare & Insurance,"Private health insurance, care homes, dental, hospitals, and digital health services",
22,Bacardi,Beverages,"Global spirits manufacturer with 200+ brands including rum, gin, tequila, and whisky",
23,Bank ABC,Banking,"International wholesale banking, Islamic finance, and treasury services across MENA and Europe",
24,Bank of America,Banking & Finance,"Full-service banking, wealth management, investment banking, and global markets",
25,Barclays,Banking & Investment,"Retail banking, corporate finance, wealth management, and investment banking",
26,Boyden,Executive Search,Global executive search and leadership consulting across industries and geographies,
27,CSC Capital Market,Investment Banking,Capital markets advisory and investment banking services,
28,CapGemini,Consulting & Technology,"Digital transformation, cloud, AI, and IT services across industries",
29,Capital.com,Fintech,"Online trading platform offering CFDs, forex, and financial education",
30,CapitalOne,Banking & Finance,"Consumer and commercial banking, credit cards, and financial technology",
31,Carisbrooke Partners,Executive Search,"Search and advisory for investment management, private equity, and hedge funds",
32,Chaucer,Insurance & Risk,Specialty insurance underwriting and risk management in Lloyd’s market,
33,Citi,Banking & Investment,"Global banking, wealth management, and capital markets",
34,Close Brothers,Banking & Finance,"Merchant banking, asset finance, and wealth management in UK",
35,Connectd,Startup & Investment Network,"Platform connecting startups, investors, and advisors",
36,Cornerstone Global Partners,Recruitment,"Recruitment and HR services across Asia-Pacific in tech, finance, and industrials",
37,DB,Banking & Investment,Global banking and financial services,Variant spelling
38,DBS,Banking,Consumer and corporate banking in Asia-Pacific,
39,Dealany and Bourton,Consulting,"Management consulting for strategy, operations, and transformation",
40,Deloitte,Consulting & Professional Services,"Audit, tax, consulting, and financial advisory services globally",
41,Delta Capita,Consulting & Fintech,"Financial services consulting, managed services, and fintech solutions",
42,Denison Nunn,Executive Search,Leadership search and board advisory for financial services,Limited public info
43,Dentons,Legal Services,Global law firm offering legal advisory across sectors,
44,Deutsche Bank,Banking & Investment,"Global banking, asset management, and capital markets",
45,Digital Futures,Tech Education & Recruitment,"Training and placement for tech careers, focused on diversity and inclusion",
46,Drax Executive,Executive Search,"Executive search for private equity, tech, and financial services",
47,EY,Consulting & Professional Services,"Audit, tax, strategy, and transaction advisory",
48,Emagine Consultancy,Consulting & Tech,Tech consulting and project delivery for financial services,
49,Equinex,Technology & Infrastructure,Global data centers and digital infrastructure services,
50,Eton Bridge Partners,Executive Search,"Leadership search and interim management for finance, HR, and transformation",
51,Euroclear,Financial Infrastructure,"Post-trade services including settlement, custody, and collateral management for financial markets",
